art_form,image_url,region,description
Madhubani,https://benton.media.uconn.edu/wp-content/uploads/sites/2454/2021/11/Krishna-Stealing-the-Saris-of-the-Gopies-Dulari-Devi-2020-768x564.jpg,Bihar,"Madhubani painting, or Mithila Art, from Bihar, is characterized by intricate line drawings filled with bright colors and patterns, often depicting Hindu deities and nature."
Warli,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtp38v5pLdpxvjFal9squoZhLcJBqMdebU4A&s,Maharashtra,"Warli painting is a tribal art from Maharashtra, using basic geometric shapes like circles, triangles, and squares to depict social life and nature."
Pattachitra,https://s7ap1.scene7.com/is/image/incredibleindia/pattachitra-paintings-kolkata-wb-blog-art-hero,Odisha,"Pattachitra is a traditional cloth-based scroll painting from Odisha, known for its rich colorful application, creative motifs, and mythological narratives, especially inspired by Lord Jagannath."
Gond,https://static.sadhguru.org/d/46272/1633188513-1633188512168.jpg,Madhya Pradesh,"Gond art is a vibrant folk and tribal painting style from Madhya Pradesh, practiced by the Gond tribe, characterized by patterns of dots and lines depicting nature, myths, and daily life."
Kalamkari,https://laasyaart.com/wp-content/uploads/2022/06/Untitled-design-7-e1654847472121-640x520.jpg,Andhra Pradesh,"Kalamkari is a traditional Indian art of hand-painting or block-printing on cotton fabric with a pen (kalam), primarily practiced in Andhra Pradesh, featuring mythological themes and intricate designs."
Kathakali,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Kathakali_-Play_with_Kaurava.jpg/500px-Kathakali_-Play_with_Kaurava.jpg,Kerala,"Kathakali is a classical Indian dance-drama from Kerala, characterized by elaborate costumes, vibrant makeup, detailed gestures, and expressive facial movements to narrate stories from epics."
Bharatanatyam,http://kalyanikalamandir.com/wp-content/uploads/2023/09/130.jpg ,Tamil Nadu,"Bharatanatyam is a major Indian classical dance form that originated in Tamil Nadu, known for its grace, purity, tenderness, and sculpturesque poses, typically depicting spiritual themes."
Phad,https://cdn.shopify.com/s/files/1/0849/4704/files/Phad_Facebook_Image.jpg,Rajasthan,"Phad painting is a style of religious scroll painting and folk art from Rajasthan, traditionally done on a long piece of cloth depicting narratives of folk deities like Pabuji and Devnarayan."
Tanjore,https://s7ap1.scene7.com/is/image/incredibleindia/tanjore-paintings-chennai-tamil-blog-art-hero,Tamil Nadu,"Tanjore painting is a classical South Indian art style from Thanjavur, Tamil Nadu, distinguished by its rich colors, gold foil embellishments, and inlay work of glass beads, often depicting Hindu deities."
Cheriyal,https://tvami.com/cdn/shop/collections/ea5c3e8a24784c094bd2519b1bd84f53_1200x1200.jpg,Telangana,"Cheriyal scroll painting is a stylized narrative folk art from Telangana, characterized by its depiction of local folktales and Puranic stories in a continuous scroll, traditionally using natural pigments on khadi cloth."
Chhau Dance,https://www.utsavpedia.com/wp-content/uploads/2015/07/1.-httpwww.pinterest.compin406661041326847107.jpg,West Bengal,"Chhau dance is a semi-classical Indian dance with martial, tribal, and folk origins from Eastern India (West Bengal, Jharkhand, Odisha), often characterized by vibrant masks and acrobatic movements depicting epics and local legends."
Channapatna Toys,https://s7ap1.scene7.com/is/image/incredibleindia/channapatna-toys-and-dolls-Karnataka-1-craft-hero,Karnataka,"Channapatna toys are traditional Indian wooden toys from Channapatna, Karnataka, known for their bright, eco-friendly lacquer finish and smooth, rounded edges, often used for educational and decorative purposes."
Blue Pottery,https://th-i.thgim.com/public/entertainment/art/lld5c5/article35620369.ece/alternates/FREE_1200/kimpbluepottery2,Rajasthan,"Blue Pottery is a traditional craft of Jaipur, Rajasthan, recognized by its striking blue dye derived from cobalt oxide, and is made from quartz powder, glass, and Multani Mitti, not clay."
Patua Scroll Art,https://mapacademy.io/wp-content/uploads/2023/04/patua-27m.jpg,West Bengal,"Patua scroll painting (Patachitra) from West Bengal is a traditional narrative art where stories, often mythological or social, are painted on scrolls (pats) and sung by the Patua artists."
Longpi Pottery,https://mapacademy.io/wp-content/uploads/2023/07/longpi-pottery-1m.jpg,Manipur,"Longpi pottery, or black pottery, is a traditional craft from Longpi village in Manipur, made from a unique mixture of black serpentinite stone and weathered rock, known for its rustic charm and heat retention."
Majuli Mask Making,https://i.ytimg.com/vi/ZWGUWw2fWJY/maxresdefault.jpg,Assam,"Majuli mask making (Mukha Shilpa) is a traditional craft from the river island of Majuli in Assam, associated with Sattras (Vaishnavite monasteries), where masks depicting mythological characters are made from bamboo, cloth, clay, and cow dung."
Thoda Dance,https://mapacademy.io/wp-content/uploads/2022/04/thoda-1-thumbnail.jpeg,Himachal Pradesh,"Thoda is a traditional martial art dance form from Himachal Pradesh, combining archery skills with dance and music, performed during local festivals and fairs."
